protein1,protein2,combined_score
4932.Q0010,4932.Q0297,945
4932.Q0010,4932.Q0032,956
4932.Q0010,4932.Q0143,954
4932.Q0010,4932.Q0182,916
4932.Q0010,4932.Q0142,843
4932.Q0010,4932.Q0017,955
4932.Q0010,4932.Q0092,845
4932.Q0017,4932.Q0142,902
4932.Q0017,4932.Q0143,946
4932.Q0017,4932.Q0092,925
4932.Q0017,4932.Q0182,953
4932.Q0017,4932.Q0032,961
4932.Q0017,4932.Q0297,954
4932.Q0032,4932.Q0182,961
4932.Q0032,4932.Q0143,972
4932.Q0032,4932.Q0092,831
4932.Q0032,4932.Q0297,950
4932.Q0032,4932.Q0142,874
4932.Q0045,4932.YNR018W,999
4932.Q0045,4932.YGL226W,766
4932.Q0045,4932.YDR119W-A,987
4932.Q0045,4932.Q0075,976
4932.Q0045,4932.Q0105,999
4932.Q0045,4932.Q0065,869
4932.Q0045,4932.YMR014W,866
4932.Q0045,4932.YIL157C,895
4932.Q0045,4932.Q0115,977
4932.Q0045,4932.Q0055,837
4932.Q0045,4932.YGR222W,821
4932.Q0045,4932.YHR001W-A,992
4932.Q0045,4932.YPR191W,998
4932.Q0045,4932.YJL166W,997
4932.Q0045,4932.Q0060,958
4932.Q0045,4932.YGR150C,707
4932.Q0045,4932.YLR067C,982
4932.Q0045,4932.YML030W,996
4932.Q0045,4932.YKL192C,738
4932.Q0045,4932.YDR194C,795
4932.Q0045,4932.Q0050,939
4932.Q0045,4932.YDL067C,999
4932.Q0045,4932.Q0255,777
4932.Q0045,4932.Q0160,778
4932.Q0045,4932.YOR065W,999
4932.Q0045,4932.Q0080,938
4932.Q0045,4932.YML129C,943
4932.Q0045,4932.YEL039C,905
4932.Q0045,4932.Q0250,999
4932.Q0045,4932.YMR256C,999
4932.Q0045,4932.Q0275,999
4932.Q0045,4932.YGL191W,999
4932.Q0045,4932.YEL024W,999
4932.Q0045,4932.YMR244C-A,822
4932.Q0045,4932.YBL045C,999
4932.Q0045,4932.YLR395C,999
4932.Q0045,4932.YBL099W,777
4932.Q0045,4932.Q0120,989
4932.Q0045,4932.Q0070,905
4932.Q0045,4932.YGL187C,999
4932.Q0045,4932.Q0110,987
4932.Q0045,4932.YIL111W,999
4932.Q0045,4932.Q0140,981
4932.Q0045,4932.YER154W,743
4932.Q0045,4932.YHR051W,999
4932.Q0045,4932.YJL062W-A,954
4932.Q0045,4932.YPL132W,858
4932.Q0045,4932.YER141W,827
4932.Q0045,4932.YBR037C,723
4932.Q0045,4932.Q0085,997
4932.Q0045,4932.YJR048W,885
4932.Q0045,4932.YDL044C,805
4932.Q0045,4932.YLL041C,732
4932.Q0045,4932.YPL172C,855
4932.Q0045,4932.YDR529C,998
4932.Q0045,4932.YFR033C,988
4932.Q0045,4932.YLR163C,715
4932.Q0045,4932.YGR183C,997
4932.Q0045,4932.YNL052W,999
4932.Q0045,4932.YIR021W,758
4932.Q0045,4932.YLR203C,990
4932.Q0045,4932.YLR038C,999
4932.Q0045,4932.YGR112W,946
4932.Q0045,4932.Q0130,978
4932.Q0045,4932.YKL141W,716
4932.Q0050,4932.Q0120,937
4932.Q0050,4932.Q0075,991
4932.Q0050,4932.Q0070,913
4932.Q0050,4932.Q0105,941
4932.Q0050,4932.Q0110,990
4932.Q0050,4932.Q0065,949
4932.Q0050,4932.Q0115,931
4932.Q0050,4932.Q0055,888
4932.Q0050,4932.Q0060,947
4932.Q0050,4932.Q0085,921
4932.Q0050,4932.Q0160,806
4932.Q0050,4932.Q0250,826
4932.Q0050,4932.Q0130,833
4932.Q0050,4932.Q0275,872
4932.Q0055,4932.Q0085,897
4932.Q0055,4932.Q0130,848
4932.Q0055,4932.Q0070,947
4932.Q0055,4932.Q0120,981
4932.Q0055,4932.Q0110,974
4932.Q0055,4932.YDR194C,813
4932.Q0055,4932.Q0250,829
4932.Q0055,4932.Q0275,839
4932.Q0055,4932.Q0105,881
4932.Q0055,4932.Q0075,985
4932.Q0055,4932.Q0115,876
4932.Q0055,4932.Q0065,930
4932.Q0055,4932.Q0060,913
4932.Q0060,4932.Q0105,894
4932.Q0060,4932.Q0070,962
4932.Q0060,4932.Q0075,930
4932.Q0060,4932.Q0120,829
4932.Q0060,4932.Q0065,968
4932.Q0060,4932.Q0110,914
4932.Q0060,4932.Q0085,707
4932.Q0060,4932.Q0160,865
4932.Q0060,4932.Q0250,892
4932.Q0060,4932.Q0275,933
4932.Q0065,4932.Q0140,747
4932.Q0065,4932.YIL111W,768
4932.Q0065,4932.Q0110,975
4932.Q0065,4932.YHR051W,954
4932.Q0065,4932.YPL132W,715
4932.Q0065,4932.Q0120,975
4932.Q0065,4932.YGL187C,967
4932.Q0065,4932.Q0070,946
4932.Q0065,4932.YNL052W,768
4932.Q0065,4932.YGR183C,921
4932.Q0065,4932.Q0130,904
4932.Q0065,4932.YLR038C,931
4932.Q0065,4932.Q0085,978
4932.Q0065,4932.YPL172C,760
4932.Q0065,4932.YLL041C,733
4932.Q0065,4932.YJR048W,774
4932.Q0065,4932.YDR529C,935
4932.Q0065,4932.Q0115,940
4932.Q0065,4932.YMR014W,866
4932.Q0065,4932.YPR191W,940
4932.Q0065,4932.YNL310C,759
4932.Q0065,4932.YJL166W,875
4932.Q0065,4932.YGL226W,766
4932.Q0065,4932.Q0075,954
4932.Q0065,4932.Q0105,990
4932.Q0065,4932.YEL039C,775
4932.Q0065,4932.Q0250,999
4932.Q0065,4932.YLR395C,954
4932.Q0065,4932.YBL045C,856
4932.Q0065,4932.YEL024W,971
4932.Q0065,4932.YMR244C-A,756
4932.Q0065,4932.Q0275,998
4932.Q0065,4932.YGL191W,924
4932.Q0065,4932.YOR065W,963
4932.Q0065,4932.Q0160,970
4932.Q0065,4932.Q0080,705
4932.Q0070,4932.Q0085,954
4932.Q0070,4932.YPL172C,797
4932.Q0070,4932.YLL041C,732
4932.Q0070,4932.YJR048W,774
4932.Q0070,4932.YDR529C,916
4932.Q0070,4932.YGR183C,918
4932.Q0070,4932.YNL052W,768
4932.Q0070,4932.Q0130,879
4932.Q0070,4932.YLR038C,932
4932.Q0070,4932.Q0120,992
4932.Q0070,4932.YGL187C,968
4932.Q0070,4932.YIL111W,768
4932.Q0070,4932.Q0110,970
4932.Q0070,4932.YHR051W,955
4932.Q0070,4932.YPL132W,717
4932.Q0070,4932.YOR065W,963
4932.Q0070,4932.YEL039C,774
4932.Q0070,4932.Q0250,999
4932.Q0070,4932.YLR395C,954
4932.Q0070,4932.YMR244C-A,756
4932.Q0070,4932.YEL024W,971
4932.Q0070,4932.Q0275,997
4932.Q0070,4932.YGL191W,928
4932.Q0070,4932.YBL045C,855
4932.Q0070,4932.YGL226W,766
4932.Q0070,4932.Q0075,995
4932.Q0070,4932.Q0105,983
4932.Q0070,4932.YMR014W,866
4932.Q0070,4932.Q0115,988
4932.Q0070,4932.YPR191W,938
4932.Q0070,4932.YJL166W,871
4932.Q0075,4932.YJL166W,720
4932.Q0075,4932.YPR191W,729
4932.Q0075,4932.YGR222W,908
4932.Q0075,4932.Q0115,995
4932.Q0075,4932.YMR014W,866
4932.Q0075,4932.Q0105,977
4932.Q0075,4932.YLR395C,768
4932.Q0075,4932.Q0275,992
4932.Q0075,4932.YEL024W,918
4932.Q0075,4932.Q0250,982
4932.Q0075,4932.YEL039C,701
4932.Q0075,4932.YOR065W,897
4932.Q0075,4932.Q0255,711
4932.Q0075,4932.YDR194C,841
4932.Q0075,4932.YPL132W,703
4932.Q0075,4932.YHR051W,774
4932.Q0075,4932.Q0140,797
4932.Q0075,4932.Q0110,996
4932.Q0075,4932.YGL187C,789
4932.Q0075,4932.Q0120,994
4932.Q0075,4932.YPL029W,844
4932.Q0075,4932.YPR134W,837
4932.Q0075,4932.Q0130,799
4932.Q0075,4932.YIR021W,941
4932.Q0075,4932.YGR183C,705
4932.Q0075,4932.YOR350C,832
4932.Q0075,4932.YDR529C,705
4932.Q0075,4932.YLL041C,714
4932.Q0075,4932.YJR048W,701
4932.Q0075,4932.Q0085,933
4932.Q0080,4932.YLR203C,750
4932.Q0080,4932.Q0130,999
4932.Q0080,4932.YOR270C,720
4932.Q0080,4932.YPL005W,862
4932.Q0080,4932.YPL078C,999
4932.Q0080,4932.YDL004W,979
4932.Q0080,4932.YEL027W,732
4932.Q0080,4932.YPR020W,723
4932.Q0080,4932.YLR295C,999
4932.Q0080,4932.YLR393W,996
4932.Q0080,4932.Q0250,937
4932.Q0080,4932.YCL005W-A,720
4932.Q0080,4932.YML081C-A,999
4932.Q0080,4932.YPR155C,758
4932.Q0080,4932.YDR298C,979
4932.Q0080,4932.YPL234C,732
4932.Q0080,4932.Q0085,999
4932.Q0080,4932.YBR039W,956
4932.Q0080,4932.YDR377W,978
4932.Q0080,4932.YHR026W,732
4932.Q0080,4932.YJR121W,999
4932.Q0080,4932.Q0140,920
4932.Q0080,4932.YOL077W-A,942
4932.Q0080,4932.Q0092,756
4932.Q0080,4932.YMR054W,720
4932.Q0080,4932.YKL016C,999
4932.Q0080,4932.YDR322C-A,787
4932.Q0080,4932.YPL271W,946
4932.Q0080,4932.YLR447C,720
4932.Q0080,4932.Q0105,850
4932.Q0080,4932.YBL099W,999
4932.Q0080,4932.YDR350C,802
4932.Q0085,4932.YKL148C,743
4932.Q0085,4932.YJL180C,816
4932.Q0085,4932.Q0110,947
4932.Q0085,4932.Q0140,974
4932.Q0085,4932.YER154W,915
4932.Q0085,4932.YPL183W-A,853
4932.Q0085,4932.YJR121W,999
4932.Q0085,4932.YBR039W,999
4932.Q0085,4932.YDR377W,986
4932.Q0085,4932.YHR026W,996
4932.Q0085,4932.YNR036C,758
4932.Q0085,4932.YPL029W,790
4932.Q0085,4932.YLR378C,783
4932.Q0085,4932.YHL004W,705
4932.Q0085,4932.YKL024C,705
4932.Q0085,4932.YBL099W,999
4932.Q0085,4932.YDR237W,782
4932.Q0085,4932.YBR011C,760
4932.Q0085,4932.YLR447C,903
4932.Q0085,4932.Q0120,948
4932.Q0085,4932.YDR322C-A,909
4932.Q0085,4932.YNR020C,918
4932.Q0085,4932.YMR267W,760
4932.Q0085,4932.YPL078C,999
4932.Q0085,4932.YPL005W,720
4932.Q0085,4932.YPR020W,997
4932.Q0085,4932.YGR112W,701
4932.Q0085,4932.Q0130,999
4932.Q0085,4932.YLR203C,768
4932.Q0085,4932.YDL061C,760
4932.Q0085,4932.YKL170W,703
4932.Q0085,4932.YPL172C,771
4932.Q0085,4932.YGL123W,710
4932.Q0085,4932.YLL041C,794
4932.Q0085,4932.YJR048W,721
4932.Q0085,4932.YPL131W,766
4932.Q0085,4932.YMR158W,773
4932.Q0085,4932.YML081C-A,999
4932.Q0085,4932.YPL234C,998
4932.Q0085,4932.YNL284C,704
4932.Q0085,4932.YNL178W,930
4932.Q0085,4932.Q0115,907
4932.Q0085,4932.YJL190C,773
4932.Q0085,4932.YOL077W-A,975
4932.Q0085,4932.YMR054W,962
4932.Q0085,4932.YKL016C,999
4932.Q0085,4932.YGR085C,745
4932.Q0085,4932.YBR283C,783
4932.Q0085,4932.YLR067C,837
4932.Q0085,4932.YMR176W,986
4932.Q0085,4932.YPR102C,748
4932.Q0085,4932.YOR063W,796
4932.Q0085,4932.YGR220C,841
4932.Q0085,4932.YLR388W,750
4932.Q0085,4932.YDR350C,864
4932.Q0085,4932.YDR226W,729
4932.Q0085,4932.YJR119C,986
4932.Q0085,4932.Q0105,999
4932.Q0085,4932.YDR041W,724
4932.Q0085,4932.YBL038W,737
4932.Q0085,4932.YMR260C,707
4932.Q0085,4932.YLR367W,773
4932.Q0085,4932.YPL271W,999
4932.Q0085,4932.YEL050C,758
4932.Q0085,4932.YLR295C,999
4932.Q0085,4932.YLR393W,998
4932.Q0085,4932.YHR038W,760
4932.Q0085,4932.Q0250,998
4932.Q0085,4932.YOL140W,737
4932.Q0085,4932.YEL039C,766
4932.Q0085,4932.YDL004W,999
4932.Q0085,4932.YEL027W,998
4932.Q0085,4932.YEL024W,755
4932.Q0085,4932.Q0275,999
4932.Q0085,4932.YGL191W,927
4932.Q0085,4932.YOR270C,964
4932.Q0085,4932.YPR166C,860
4932.Q0085,4932.YPL013C,770
4932.Q0085,4932.YOL127W,751
4932.Q0085,4932.YDR298C,999
4932.Q0085,4932.YER170W,705
4932.Q0085,4932.YCL005W-A,720
4932.Q0085,4932.YHL015W,706
4932.Q0085,4932.Q0255,851
4932.Q0092,4932.Q0142,868
4932.Q0092,4932.YKL011C,791
4932.Q0092,4932.Q0297,801
4932.Q0092,4932.YDR263C,760
4932.Q0092,4932.YDR296W,908
4932.Q0092,4932.Q0182,845
4932.Q0092,4932.Q0143,945
4932.Q0092,4932.YMR072W,755
4932.Q0092,4932.YFL036W,832
4932.Q0092,4932.YAL015C,754
4932.Q0105,4932.YEL024W,999
4932.Q0105,4932.YMR244C-A,826
4932.Q0105,4932.YGL191W,999
4932.Q0105,4932.Q0275,999
4932.Q0105,4932.YBL045C,999
4932.Q0105,4932.YLR395C,995
4932.Q0105,4932.YMR003W,765
4932.Q0105,4932.YMR256C,999
4932.Q0105,4932.Q0250,999
4932.Q0105,4932.YOL140W,730
4932.Q0105,4932.YEL039C,997
4932.Q0105,4932.YFL038C,752
4932.Q0105,4932.Q0255,851
4932.Q0105,4932.YDL067C,983
4932.Q0105,4932.YOR065W,999
4932.Q0105,4932.Q0160,793
4932.Q0105,4932.YGR174C,888
4932.Q0105,4932.YKL192C,800
4932.Q0105,4932.YML030W,996
4932.Q0105,4932.YJL166W,999
4932.Q0105,4932.YLR067C,731
4932.Q0105,4932.YHR001W-A,997
4932.Q0105,4932.YPR191W,999
4932.Q0105,4932.YMR014W,911
4932.Q0105,4932.Q0115,957
4932.Q0105,4932.YDR119W-A,957
4932.Q0105,4932.YGL226W,807
4932.Q0105,4932.YNR018W,852
4932.Q0105,4932.YLR038C,999
4932.Q0105,4932.Q0130,991
4932.Q0105,4932.YLR203C,809
4932.Q0105,4932.YGR183C,999
4932.Q0105,4932.YNL052W,994
4932.Q0105,4932.YFR033C,990
4932.Q0105,4932.YLR163C,964
4932.Q0105,4932.YDR529C,999
4932.Q0105,4932.YER048W-A,858
4932.Q0105,4932.YJR048W,997
4932.Q0105,4932.YHR024C,856
4932.Q0105,4932.YJR104C,709
4932.Q0105,4932.YDL044C,756
4932.Q0105,4932.YLL041C,927
4932.Q0105,4932.YML043C,766
4932.Q0105,4932.YJR121W,754
4932.Q0105,4932.YER141W,708
4932.Q0105,4932.YHR051W,998
4932.Q0105,4932.YKL148C,866
4932.Q0105,4932.YIL111W,992
4932.Q0105,4932.Q0110,990
4932.Q0105,4932.Q0140,951
4932.Q0105,4932.YER154W,809
4932.Q0105,4932.YDL069C,761
4932.Q0105,4932.YDR197W,905
4932.Q0105,4932.YGL187C,999
4932.Q0105,4932.Q0120,970
4932.Q0105,4932.YBR120C,730
4932.Q0105,4932.YPL215W,985
4932.Q0105,4932.YBL099W,704
4932.Q0110,4932.Q0130,828
4932.Q0110,4932.YGR183C,879
4932.Q0110,4932.YLR163C,713
4932.Q0110,4932.YDR529C,897
4932.Q0110,4932.YER048W-A,843
4932.Q0110,4932.YLL041C,713
4932.Q0110,4932.YML043C,765
4932.Q0110,4932.YHR051W,781
4932.Q0110,4932.Q0140,820
4932.Q0110,4932.YDL069C,859
4932.Q0110,4932.YDR197W,877
4932.Q0110,4932.YGL187C,832
4932.Q0110,4932.Q0120,989
4932.Q0110,4932.YGL191W,797
4932.Q0110,4932.Q0275,997
4932.Q0110,4932.YEL024W,997
4932.Q0110,4932.YBL045C,713
4932.Q0110,4932.YMR003W,765
4932.Q0110,4932.Q0250,995
4932.Q0110,4932.YFL038C,752
4932.Q0110,4932.Q0255,781
4932.Q0110,4932.Q0160,797
4932.Q0110,4932.YKL208W,715
4932.Q0110,4932.YOR065W,997
4932.Q0110,4932.YKL192C,800
4932.Q0110,4932.YJL166W,875
4932.Q0110,4932.YPR191W,841
4932.Q0110,4932.YMR014W,911
4932.Q0110,4932.Q0115,978
4932.Q0115,4932.YGR183C,944
4932.Q0115,4932.YIR021W,924
4932.Q0115,4932.YLR038C,898
4932.Q0115,4932.Q0130,821
4932.Q0115,4932.YLL041C,713
4932.Q0115,4932.YML043C,768
4932.Q0115,4932.YLR163C,764
4932.Q0115,4932.YDR529C,942
4932.Q0115,4932.YER048W-A,843
4932.Q0115,4932.YDL069C,861
4932.Q0115,4932.YHR051W,798
4932.Q0115,4932.YDR197W,877
4932.Q0115,4932.YGL187C,901
4932.Q0115,4932.Q0120,969
4932.Q0115,4932.Q0250,994
4932.Q0115,4932.YGL191W,879
4932.Q0115,4932.Q0275,986
4932.Q0115,4932.YEL024W,998
4932.Q0115,4932.YBL045C,764
4932.Q0115,4932.YLR395C,783
4932.Q0115,4932.YMR003W,765
4932.Q0115,4932.YKL192C,800
4932.Q0115,4932.YFL038C,752
4932.Q0115,4932.Q0255,757
4932.Q0115,4932.YKL208W,718
4932.Q0115,4932.YOR065W,999
4932.Q0115,4932.YMR014W,911
4932.Q0115,4932.YHL038C,723
4932.Q0115,4932.YJL166W,894
4932.Q0115,4932.YPR191W,939
4932.Q0120,4932.YMR014W,911
4932.Q0120,4932.YJL166W,924
4932.Q0120,4932.YGR150C,819
4932.Q0120,4932.YPR191W,939
4932.Q0120,4932.YIL177C,760
4932.Q0120,4932.Q0250,996
4932.Q0120,4932.YEL024W,999
4932.Q0120,4932.Q0275,991
4932.Q0120,4932.YGL191W,879
4932.Q0120,4932.YBL045C,764
4932.Q0120,4932.YLR395C,783
4932.Q0120,4932.YMR003W,765
4932.Q0120,4932.YLR382C,941
4932.Q0120,4932.YKL192C,800
4932.Q0120,4932.YFL038C,754
4932.Q0120,4932.Q0255,935
4932.Q0120,4932.YOR065W,998
4932.Q0120,4932.Q0160,860
4932.Q0120,4932.Q0140,777
4932.Q0120,4932.YHR051W,798
4932.Q0120,4932.YDR197W,714
4932.Q0120,4932.YGL187C,901
4932.Q0120,4932.YGR183C,949
4932.Q0120,4932.YJL225C,892
4932.Q0120,4932.YLR038C,906
4932.Q0120,4932.Q0130,940
4932.Q0120,4932.YLL041C,713
4932.Q0120,4932.YML043C,769
4932.Q0120,4932.YLR163C,773
4932.Q0120,4932.YDR529C,942
4932.Q0120,4932.YIL177W-A,760
4932.Q0120,4932.YER048W-A,843
4932.Q0130,4932.YJR121W,999
4932.Q0130,4932.YBR127C,971
4932.Q0130,4932.YBR039W,999
4932.Q0130,4932.YHR051W,967
4932.Q0130,4932.YOR086C,711
4932.Q0130,4932.YER154W,985
4932.Q0130,4932.Q0140,964
4932.Q0130,4932.YLR447C,992
4932.Q0130,4932.YDR322C-A,784
4932.Q0130,4932.YBL099W,999
4932.Q0130,4932.YLR038C,739
4932.Q0130,4932.YPL078C,999
4932.Q0130,4932.YNL178W,932
4932.Q0130,4932.YMR098C,861
4932.Q0130,4932.YMR282C,889
4932.Q0130,4932.YHR039C-A,845
4932.Q0130,4932.YML081C-A,999
4932.Q0130,4932.YJL166W,803
4932.Q0130,4932.YGL219C,715
4932.Q0130,4932.YOL077W-A,942
4932.Q0130,4932.YKL016C,999
4932.Q0130,4932.YPL271W,999
4932.Q0130,4932.YJR119C,880
4932.Q0130,4932.YGL191W,923
4932.Q0130,4932.Q0275,935
4932.Q0130,4932.YOR270C,973
4932.Q0130,4932.YLR295C,999
4932.Q0130,4932.Q0250,972
4932.Q0130,4932.YEL039C,770
4932.Q0130,4932.YDL004W,999
4932.Q0130,4932.YCL005W-A,730
4932.Q0130,4932.YPR036W,883
4932.Q0130,4932.YHR026W,723
4932.Q0130,4932.YDR377W,943
4932.Q0130,4932.YDL227C,906
4932.Q0130,4932.YDL185W,903
4932.Q0130,4932.YGL187C,758
4932.Q0130,4932.YBR011C,777
4932.Q0130,4932.YGR020C,946
4932.Q0130,4932.YNL052W,728
4932.Q0130,4932.YMR267W,771
4932.Q0130,4932.YKL080W,842
4932.Q0130,4932.YPR020W,996
4932.Q0130,4932.YOR332W,972
4932.Q0130,4932.YJR048W,747
4932.Q0130,4932.YJL131C,756
4932.Q0130,4932.YLR178C,842
4932.Q0130,4932.YEL051W,958
4932.Q0130,4932.YPL234C,753
4932.Q0130,4932.YPR091C,703
4932.Q0130,4932.YMR176W,883
4932.Q0130,4932.YMR014W,711
4932.Q0130,4932.YMR054W,972
4932.Q0130,4932.YOL009C,777
4932.Q0130,4932.YLR393W,997
4932.Q0130,4932.YEL027W,755
4932.Q0130,4932.YOR065W,930
4932.Q0130,4932.Q0255,804
4932.Q0130,4932.YDR298C,999
4932.Q0140,4932.YJR101W,982
4932.Q0140,4932.YGR220C,817
4932.Q0140,4932.YNL177C,832
4932.Q0140,4932.YBR146W,987
4932.Q0140,4932.YBL038W,821
4932.Q0140,4932.YDR041W,996
4932.Q0140,4932.YEL050C,841
4932.Q0140,4932.YPL118W,989
4932.Q0140,4932.YBR251W,997
4932.Q0140,4932.YBR122C,866
4932.Q0140,4932.YDR462W,877
4932.Q0140,4932.YKL155C,989
4932.Q0140,4932.YHR059W,980
4932.Q0140,4932.YJL063C,800
4932.Q0140,4932.YGR076C,804
4932.Q0140,4932.YIL093C,988
4932.Q0140,4932.YLR067C,725
4932.Q0140,4932.YGR150C,892
4932.Q0140,4932.YKR085C,800
4932.Q0140,4932.YNL122C,800
4932.Q0140,4932.YNL081C,981
4932.Q0140,4932.YGL129C,987
4932.Q0140,4932.YPR100W,825
4932.Q0140,4932.YPL173W,846
4932.Q0140,4932.Q0255,757
4932.Q0140,4932.YHR075C,922
4932.Q0140,4932.YDR405W,898
4932.Q0140,4932.Q0250,943
4932.Q0140,4932.YNR022C,840
4932.Q0140,4932.YMR286W,800
4932.Q0140,4932.YJL096W,804
4932.Q0140,4932.YGR215W,994
4932.Q0140,4932.YDR494W,993
4932.Q0140,4932.YER050C,985
4932.Q0140,4932.Q0275,792
4932.Q0140,4932.YCR003W,837
4932.Q0140,4932.YPL013C,981
4932.Q0140,4932.YPR166C,993
4932.Q0140,4932.YCR071C,829
4932.Q0140,4932.YHL004W,987
4932.Q0140,4932.YDR322W,883
4932.Q0140,4932.YNR037C,979
4932.Q0140,4932.YDR237W,826
4932.Q0140,4932.YLR312W-A,808
4932.Q0140,4932.YNL252C,863
4932.Q0140,4932.YJR113C,992
4932.Q0140,4932.YKR006C,831
4932.Q0140,4932.YNL306W,989
4932.Q0140,4932.YLR204W,978
4932.Q0140,4932.YNL005C,898
4932.Q0140,4932.YHR147C,801
4932.Q0140,4932.YCR046C,816
4932.Q0140,4932.YNL137C,992
4932.Q0140,4932.YML025C,822
4932.Q0140,4932.YGR165W,988
4932.Q0140,4932.YER154W,708
4932.Q0140,4932.YDR296W,905
4932.Q0140,4932.YBL090W,984
4932.Q0140,4932.YDR337W,983
4932.Q0140,4932.YDR115W,825
4932.Q0140,4932.YOR150W,800
4932.Q0140,4932.YPL183W-A,820
4932.Q0140,4932.YNR036C,989
4932.Q0140,4932.YDL045W-A,990
4932.Q0140,4932.YDR036C,990
4932.Q0140,4932.YJL131C,743
4932.Q0140,4932.YKL170W,820
4932.Q0140,4932.YMR188C,986
4932.Q0140,4932.YGR084C,980
4932.Q0140,4932.YMR158W,979
4932.Q0140,4932.YMR193W,807
4932.Q0140,4932.YNL284C,823
4932.Q0140,4932.YOR158W,986
4932.Q0140,4932.YNL178W,730
4932.Q0140,4932.YDR175C,995
4932.Q0140,4932.YBR282W,818
4932.Q0140,4932.YMR024W,820
4932.Q0140,4932.YLR439W,826
4932.Q0140,4932.YML009C,867
4932.Q0140,4932.YKL138C,809
4932.Q0140,4932.YKL003C,982
4932.Q0140,4932.YDR347W,979
4932.Q0142,4932.Q0297,929
4932.Q0142,4932.Q0143,947
4932.Q0142,4932.Q0182,854
4932.Q0143,4932.Q0297,970
4932.Q0143,4932.Q0182,956
4932.Q0160,4932.YLR378C,941
4932.Q0160,4932.YOR033C,832
4932.Q0160,4932.YDL185W,962
4932.Q0160,4932.YHR164C,764
4932.Q0160,4932.YDL227C,870
4932.Q0160,4932.YER095W,857
4932.Q0160,4932.YMR190C,767
4932.Q0160,4932.YOR005C,832
4932.Q0160,4932.YNL310C,769
4932.Q0160,4932.YMR284W,900
4932.Q0160,4932.YDR086C,709
4932.Q0160,4932.Q0255,874
4932.Q0160,4932.YML032C,874
4932.Q0160,4932.YER087C-B,768
4932.Q0160,4932.YEL021W,873
4932.Q0160,4932.YOR128C,757
4932.Q0182,4932.Q0297,913
4932.Q0250,4932.YNR018W,944
4932.Q0250,4932.YGL226W,969
4932.Q0250,4932.YDR119W-A,990
4932.Q0250,4932.YMR014W,979
4932.Q0250,4932.YHR001W-A,989
4932.Q0250,4932.YPR191W,999
4932.Q0250,4932.YIL125W,777
4932.Q0250,4932.YJL166W,999
4932.Q0250,4932.YKL192C,848
4932.Q0250,4932.YML030W,997
4932.Q0250,4932.Q0255,846
4932.Q0250,4932.YDL067C,999
4932.Q0250,4932.YNL055C,800
4932.Q0250,4932.YOR065W,999
4932.Q0250,4932.YBL030C,749
4932.Q0250,4932.YML129C,798
4932.Q0250,4932.YEL039C,943
4932.Q0250,4932.YMR257C,894
4932.Q0250,4932.YOL140W,805
4932.Q0250,4932.YBR185C,730
4932.Q0250,4932.YMR256C,999
4932.Q0250,4932.YMR145C,719
4932.Q0250,4932.YBL045C,999
4932.Q0250,4932.YMR244C-A,999
4932.Q0250,4932.YEL024W,999
4932.Q0250,4932.YGL191W,999
4932.Q0250,4932.Q0275,999
4932.Q0250,4932.YMR003W,945
4932.Q0250,4932.YLL009C,778
4932.Q0250,4932.YML120C,733
4932.Q0250,4932.YGR062C,998
4932.Q0250,4932.YLR395C,999
4932.Q0250,4932.YBR024W,946
4932.Q0250,4932.YBL099W,739
4932.Q0250,4932.YGL187C,999
4932.Q0250,4932.YER154W,943
4932.Q0250,4932.YIL111W,999
4932.Q0250,4932.YDR231C,997
4932.Q0250,4932.YFL036W,739
4932.Q0250,4932.YHR051W,999
4932.Q0250,4932.YPL132W,976
4932.Q0250,4932.YJR121W,725
4932.Q0250,4932.YBR037C,999
4932.Q0250,4932.YER141W,910
4932.Q0250,4932.YML043C,788
4932.Q0250,4932.YJR104C,716
4932.Q0250,4932.YJR048W,943
4932.Q0250,4932.YHR024C,836
4932.Q0250,4932.YPL172C,946
4932.Q0250,4932.YLL041C,931
4932.Q0250,4932.YDR529C,999
4932.Q0250,4932.YIL155C,791
4932.Q0250,4932.YFR033C,993
4932.Q0250,4932.YLR163C,938
4932.Q0250,4932.YNL052W,999
4932.Q0250,4932.YGR183C,999
4932.Q0250,4932.YLR142W,759
4932.Q0250,4932.YMR118C,876
4932.Q0250,4932.YLR203C,942
4932.Q0250,4932.YLR038C,999
4932.Q0250,4932.YKL141W,901
4932.Q0250,4932.YGR112W,888
4932.Q0255,4932.YDL159W-A,797
4932.Q0255,4932.YKL096C-B,794
4932.Q0255,4932.YKL183C-A,798
4932.Q0255,4932.Q0275,745
4932.Q0275,4932.YOR065W,999
4932.Q0275,4932.YDL067C,998
4932.Q0275,4932.YML030W,997
4932.Q0275,4932.YKL192C,907
4932.Q0275,4932.YMR003W,945
4932.Q0275,4932.YML120C,705
4932.Q0275,4932.YLR395C,999
4932.Q0275,4932.YBL045C,999
4932.Q0275,4932.YGL191W,999
4932.Q0275,4932.YMR244C-A,964
4932.Q0275,4932.YEL024W,999
4932.Q0275,4932.YMR256C,999
4932.Q0275,4932.YEL039C,922
4932.Q0275,4932.YDR119W-A,956
4932.Q0275,4932.YEL047C,741
4932.Q0275,4932.YGL226W,960
4932.Q0275,4932.YOR084W,718
4932.Q0275,4932.YLR290C,729
4932.Q0275,4932.YMR090W,718
4932.Q0275,4932.YNR018W,969
4932.Q0275,4932.YJL166W,999
